26.02.03 19:45:03 aborted connection, pairingCode: admin
26.02.03 19:45:03 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:49:54 aborted connection, pairingCode: admin
26.02.03 19:49:54 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:52:15 aborted connection, pairingCode: admin
26.02.03 19:52:15 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:08:02 aborted connection, pairingCode: admin
26.02.03 20:08:02 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:08:09 aborted connection, pairingCode: admin
26.02.03 20:08:09 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:08:33 aborted connection, pairingCode: admin
26.02.03 20:08:33 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:08:57 aborted connection, pairingCode: admin
26.02.03 20:08:57 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:11:42 errorHandler [] [8192] [preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated] [D:\coding\BEAD Lab\Work\USC-BEAD-Lab-ECITT\private\libs\php\eventLib.php] [271]
26.02.03 20:11:42 illegal pairingCode: 
26.02.03 20:15:48 aborted connection, pairingCode: admin
26.02.03 20:15:48 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:15:55 aborted connection, pairingCode: admin
26.02.03 20:15:55 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:16:12 aborted connection, pairingCode: admin
26.02.03 20:16:12 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:17:03 aborted connection, pairingCode: admin
26.02.03 20:17:03 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:17:41 aborted connection, pairingCode: admin
26.02.03 20:17:41 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:33:53 aborted connection, pairingCode: admin
26.02.03 20:33:53 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:35:23 aborted connection, pairingCode: admin
26.02.03 20:35:23 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:35:57 errorHandler [] [8192] [preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated] [D:\coding\BEAD Lab\Work\USC-BEAD-Lab-ECITT\private\libs\php\eventLib.php] [271]
26.02.03 20:35:57 illegal pairingCode: 
26.02.03 20:36:07 aborted connection, pairingCode: admin
26.02.03 20:36:07 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:38:37 aborted connection, pairingCode: admin
26.02.03 20:38:37 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:39:32 aborted connection, pairingCode: admin
26.02.03 20:39:32 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:58:39 aborted connection, pairingCode: admin
26.02.03 20:58:39 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 20:59:48 aborted connection, pairingCode: admin
26.02.03 20:59:48 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 21:00:14 aborted connection, pairingCode: admin
26.02.03 21:00:14 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 19:46:51 aborted connection, pairingCode: admin
26.02.04 19:46:51 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 19:50:58 aborted connection, pairingCode: admin
26.02.04 19:50:58 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 19:53:16 aborted connection, pairingCode: admin
26.02.04 19:53:16 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 19:58:44 aborted connection, pairingCode: admin
26.02.04 19:58:44 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:07:36 aborted connection, pairingCode: admin
26.02.04 20:07:36 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:12:43 aborted connection, pairingCode: admin
26.02.04 20:12:43 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:15:54 aborted connection, pairingCode: admin
26.02.04 20:15:54 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:19:55 aborted connection, pairingCode: admin
26.02.04 20:19:55 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:24:06 aborted connection, pairingCode: admin
26.02.04 20:24:06 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:25:37 aborted connection, pairingCode: admin
26.02.04 20:25:37 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:31:01 aborted connection, pairingCode: admin
26.02.04 20:31:01 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:34:13 aborted connection, pairingCode: admin
26.02.04 20:34:13 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:37:03 aborted connection, pairingCode: admin
26.02.04 20:37:03 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:37:23 aborted connection, pairingCode: admin
26.02.04 20:37:23 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:40:05 aborted connection, pairingCode: admin
26.02.04 20:40:05 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:54:19 aborted connection, pairingCode: admin
26.02.04 20:54:19 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 20:58:49 aborted connection, pairingCode: admin
26.02.04 20:58:49 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 21:01:00 aborted connection, pairingCode: admin
26.02.04 21:01:00 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 21:01:25 aborted connection, pairingCode: admin
26.02.04 21:01:25 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 21:02:45 aborted connection, pairingCode: admin
26.02.04 21:02:45 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 21:05:04 aborted connection, pairingCode: admin
26.02.04 21:05:04 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 21:07:53 aborted connection, pairingCode: admin
26.02.04 21:07:53 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 21:10:41 aborted connection, pairingCode: admin
26.02.04 21:10:41 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 21:14:57 aborted connection, pairingCode: admin
26.02.04 21:14:57 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 21:24:00 aborted connection, pairingCode: admin
26.02.04 21:24:00 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 21:30:05 aborted connection, pairingCode: admin
26.02.04 21:30:05 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 21:34:43 aborted connection, pairingCode: admin
26.02.04 21:34:43 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 21:34:56 aborted connection, pairingCode: admin
26.02.04 21:34:56 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.04 21:39:28 aborted connection, pairingCode: admin
26.02.04 21:39:28 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
